Species,Lake,Diet,Ecotype,AdultLength_cm,Aggression_1to5,Activity_1to5,DisplayAbility_1to5,MinGroupSize,PreferredPH,PreferredTemp_C,PreferredHardness_Dgh,Rarity_1to5,CareDifficulty_1to5,Price_GBP,RecommendedTank_L,SensitivityWaterParams_1to5,SensitivityStress_1to5
Tropheus sp. Ikola,Tanganyika,Herbivore,Rock Grazer,12,4,4,4,12,8.4,25,15,4,4,30,300,4,4
Tropheus sp. Red Rainbow,Tanganyika,Herbivore,Rock Grazer,12,4,4,5,12,8.4,25,15,4,4,30,300,4,4
Tropheus sp. Moliro,Tanganyika,Herbivore,Rock Grazer,12,4,4,5,12,8.4,25,15,4,4,28,300,4,4
Tropheus sp. Bemba,Tanganyika,Herbivore,Rock Grazer,12,4,4,5,12,8.4,25,15,4,4,28,300,4,4
Tropheus sp. Black Kiriza,Tanganyika,Herbivore,Rock Grazer,12,4,4,5,12,8.4,25,15,4,4,28,300,4,4
Tropheus sp. Chipimbi,Tanganyika,Herbivore,Rock Grazer,12,4,4,5,12,8.4,25,15,4,4,28,300,4,4
Altolamprologus compressiceps,Tanganyika,Carnivore,Rock Dweller,15,3,2,4,1,8.3,25,15,3,3,20,200,3,4
Altolamprologus calvus,Tanganyika,Carnivore,Rock Dweller,15,3,2,4,1,8.3,25,15,3,3,22,200,3,4
Neolamprologus pulcher,Tanganyika,Omnivore,Rock Dweller,10,3,3,4,6,8.3,25,15,2,2,8,120,3,3
Neolamprologus tretocephalus,Tanganyika,Carnivore,Rock Dweller,15,4,3,4,1,8.3,25,15,3,3,18,250,3,4
Eretmodus cyanostictus,Tanganyika,Herbivore,Rock Grazer,10,3,3,3,2,8.3,25,15,3,3,15,200,3,4
Chalinochromis brichardi,Tanganyika,Carnivore,Rock Dweller,12,3,3,3,2,8.3,25,15,3,3,15,200,3,4
Callochromis macrops,Tanganyika,Omnivore,Sand Dweller,12,3,4,4,2,8.3,25,15,3,3,18,200,3,4
Enantiopus melanogenys,Tanganyika,Planktivore,Sand Dweller,14,2,4,4,2,8.3,25,15,3,3,20,250,3,4
Xenotilapia flavipinnis,Tanganyika,Omnivore,Sand Dweller,10,2,4,3,6,8.3,25,15,3,3,15,200,3,4
Xenotilapia bathyphilus,Tanganyika,Omnivore,Sand Dweller,12,2,4,3,6,8.3,25,15,3,3,15,200,3,4
Xenotilapia papilio,Tanganyika,Omnivore,Sand Dweller,10,2,4,3,6,8.3,25,15,3,3,18,200,3,4
Benthochromis tricoti,Tanganyika,Planktivore,Open Water,15,2,5,4,6,8.3,25,15,4,4,25,250,4,4
Ophthalmotilapia ventralis,Tanganyika,Planktivore,Open Water,14,2,5,5,6,8.3,25,15,4,3,25,250,3,4
Ophthalmotilapia nasuta,Tanganyika,Planktivore,Open Water,14,2,5,5,6,8.3,25,15,4,3,25,250,3,4
Aristochromis christyi,Malawi,Carnivore,Hap,30,4,3,5,1,7.8,26,12,3,4,35,500,3,3
Buccochromis nototaenia,Malawi,Carnivore,Hap,25,4,3,5,1,7.8,26,12,3,4,30,500,3,3
Buccochromis rhoadesii,Malawi,Carnivore,Hap,25,4,3,5,1,7.8,26,12,3,4,30,500,3,3
Buccochromis spectabilis,Malawi,Carnivore,Hap,25,4,3,5,1,7.8,26,12,3,4,32,500,3,3
Chilotilapia rhoadesii,Malawi,Omnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,22,300,2,3
Copadichromis chrysonotus,Malawi,Planktivore,Hap,15,3,4,4,1,7.8,26,12,3,3,20,250,2,3
Copadichromis melas,Malawi,Planktivore,Hap,15,3,4,4,1,7.8,26,12,3,3,20,250,2,3
Exochochromis anagenys,Malawi,Carnivore,Hap,25,4,3,5,1,7.8,26,12,4,4,28,500,3,3
Placidochromis electra,Malawi,Carnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,22,300,2,3
Placidochromis milomo,Malawi,Carnivore,Hap,20,3,3,5,1,7.8,26,12,3,3,22,300,2,3
Placidochromis phenochilus,Malawi,Carnivore,Hap,20,3,3,5,1,7.8,26,12,3,3,25,300,2,3
Placidochromis johnstoni,Malawi,Omnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Placidochromis sp. Jalo,Malawi,Omnivore,Hap,18,3,3,4,1,7.8,26,12,3,3,22,300,2,3
Hemitaeniochromis urotaenia,Malawi,Carnivore,Hap,20,3,3,5,1,7.8,26,12,3,4,28,400,3,3
Lichnochromis acuticeps,Malawi,Carnivore,Hap,25,4,3,5,1,7.8,26,12,4,4,35,500,3,3
Stigmatochromis modestus,Malawi,Carnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Stigmatochromis woodi,Malawi,Carnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,20,300,2,3
Taeniochromis holotaenia,Malawi,Carnivore,Hap,22,3,3,4,1,7.8,26,12,3,3,25,400,2,3
Tyrannochromis macrostoma,Malawi,Carnivore,Hap,30,5,3,5,1,7.8,26,12,4,5,40,600,3,3
Tyrannochromis nigriventer,Malawi,Carnivore,Hap,30,5,3,5,1,7.8,26,12,4,5,40,600,3,3
Tyrannochromis polyodon,Malawi,Carnivore,Hap,30,5,3,5,1,7.8,26,12,4,5,40,600,3,3
Tyrannochromis maculiceps,Malawi,Carnivore,Hap,30,5,3,5,1,7.8,26,12,4,5,40,600,3,3
Protomelas kirkii,Malawi,Omnivore,Hap,20,3,3,4,1,7.8,26,12,3,3,20,300,2,3
